Name,Type1,Type2
bellsprout_22,Grass,Poison
bellsprout_23,Grass,Poison
bellsprout_24,Grass,Poison
bellsprout_25,Grass,Poison
bellsprout_26,Grass,Poison
bellsprout_27,Grass,Poison
bellsprout_28,Grass,Poison
bellsprout_29,Grass,Poison
bellsprout_30,Grass,Poison
bellsprout_31,Grass,Poison
bellsprout_32,Grass,Poison
bellsprout_33,Grass,Poison
bellsprout_34,Grass,Poison
bellsprout_35,Grass,Poison
bellsprout_36,Grass,Poison
bellsprout_37,Grass,Poison
bellsprout_38,Grass,Poison
bellsprout_39,Grass,Poison
bellsprout_40,Grass,Poison
eevee_1,Normal,
eevee_2,Normal,
eevee_3,Normal,
eevee_4,Normal,
eevee_5,Normal,
eevee_6,Normal,
eevee_7,Normal,
eevee_8,Normal,
eevee_9,Normal,
eevee_10,Normal,
eevee_11,Normal,
eevee_12,Normal,
eevee_13,Normal,
eevee_14,Normal,
eevee_15,Normal,
eevee_16,Normal,
eevee_17,Normal,
eevee_18,Normal,
eevee_19,Normal,
eevee_20,Normal,
eevee_21,Normal,
eevee_22,Normal,
eevee_23,Normal,
eevee_24,Normal,
eevee_25,Normal,
eevee_26,Normal,
eevee_27,Normal,
eevee_28,Normal,
eevee_29,Normal,
eevee_30,Normal,
eevee_31,Normal,
eevee_32,Normal,
eevee_33,Normal,
eevee_34,Normal,
eevee_35,Normal,
eevee_36,Normal,
eevee_37,Normal,
jolteon_1,Electric,
jolteon_2,Electric,
jolteon_3,Electric,
jolteon_4,Electric,
jolteon_5,Electric,
jolteon_6,Electric,
jolteon_7,Electric,
jolteon_8,Electric,
jolteon_9,Electric,
jolteon_10,Electric,
jolteon_11,Electric,
jolteon_12,Electric,
jolteon_13,Electric,
jolteon_14,Electric,
jolteon_15,Electric,
jolteon_16,Electric,
jolteon_17,Electric,
jolteon_18,Electric,
jolteon_19,Electric,
jolteon_20,Electric,
jolteon_21,Electric,
jolteon_22,Electric,
jolteon_23,Electric,
jolteon_24,Electric,
jolteon_25,Electric,
jolteon_26,Electric,
jolteon_27,Electric,
jolteon_28,Electric,
jolteon_29,Electric,
jolteon_30,Electric,
jolteon_31,Electric,
jolteon_32,Electric,
jolteon_33,Electric,
jolteon_34,Electric,
jolteon_35,Electric,
jolteon_36,Electric,
jolteon_37,Electric,
jolteon_38,Electric,
jolteon_39,Electric,
jolteon_40,Electric,
jolteon_41,Electric,
jolteon_42,Electric,
jolteon_43,Electric,
jolteon_44,Electric,
jolteon_45,Electric,
jolteon_46,Electric,
jolteon_47,Electric,
jolteon_48,Electric,
jolteon_49,Electric,
jolteon_50,Electric,
jolteon_51,Electric,
hypno_1,Psychic,
hypno_2,Psychic,
hypno_3,Psychic,
hypno_4,Psychic,
hypno_5,Psychic,
hypno_6,Psychic,
hypno_7,Psychic,
hypno_8,Psychic,
hypno_9,Psychic,
hypno_10,Psychic,
hypno_11,Psychic,
hypno_12,Psychic,
hypno_13,Psychic,
hypno_14,Psychic,
hypno_15,Psychic,
hypno_16,Psychic,
hypno_17,Psychic,
hypno_18,Psychic,
hypno_19,Psychic,
hypno_20,Psychic,
hypno_21,Psychic,
hypno_22,Psychic,
hypno_23,Psychic,
hypno_24,Psychic,
hypno_25,Psychic,
hypno_26,Psychic,
hypno_27,Psychic,
hypno_28,Psychic,
hypno_29,Psychic,
hypno_30,Psychic,
hypno_31,Psychic,
hypno_32,Psychic,
hypno_33,Psychic,
hypno_34,Psychic,
hypno_35,Psychic,
hypno_36,Psychic,
hypno_37,Psychic,
hypno_38,Psychic,
hypno_39,Psychic,
hypno_40,Psychic,
hypno_41,Psychic,
hypno_42,Psychic,
hypno_43,Psychic,
hypno_44,Psychic,
hypno_45,Psychic,
hypno_46,Psychic,
hypno_47,Psychic,
seel_1,Water,
seel_2,Water,
seel_3,Water,
seel_4,Water,
seel_5,Water,
seel_6,Water,
seel_7,Water,
seel_8,Water,
seel_9,Water,
seel_10,Water,
seel_11,Water,
seel_12,Water,
seel_13,Water,
seel_14,Water,
seel_15,Water,
seel_16,Water,
seel_17,Water,
seel_18,Water,
seel_19,Water,
seel_20,Water,
seel_21,Water,
seel_22,Water,
seel_23,Water,
seel_24,Water,
seel_25,Water,
seel_26,Water,
seel_27,Water,
seel_28,Water,
seel_29,Water,
seel_30,Water,
seel_31,Water,
seel_32,Water,
seel_33,Water,
seel_34,Water,
seel_35,Water,
seel_36,Water,
seel_37,Water,
seel_38,Water,
seel_39,Water,
seel_40,Water,
seel_41,Water,
seel_42,Water,
seel_43,Water,
seel_44,Water,
seel_45,Water,
seel_46,Water,
seel_47,Water,
seel_48,Water,
zubat_1,Poison,Flying
zubat_2,Poison,Flying
zubat_3,Poison,Flying
zubat_4,Poison,Flying
zubat_5,Poison,Flying
zubat_6,Poison,Flying
zubat_7,Poison,Flying
zubat_8,Poison,Flying
zubat_9,Poison,Flying
zubat_10,Poison,Flying
zubat_11,Poison,Flying
zubat_12,Poison,Flying
zubat_13,Poison,Flying
zubat_14,Poison,Flying
zubat_15,Poison,Flying
zubat_16,Poison,Flying
zubat_17,Poison,Flying
zubat_18,Poison,Flying
zubat_19,Poison,Flying
zubat_20,Poison,Flying
zubat_21,Poison,Flying
zubat_22,Poison,Flying
zubat_23,Poison,Flying
zubat_24,Poison,Flying
zubat_25,Poison,Flying
zubat_26,Poison,Flying
zubat_27,Poison,Flying
zubat_28,Poison,Flying
zubat_29,Poison,Flying
zubat_30,Poison,Flying
zubat_31,Poison,Flying
zubat_32,Poison,Flying
zubat_33,Poison,Flying
zubat_34,Poison,Flying
zubat_35,Poison,Flying
zubat_36,Poison,Flying
zubat_37,Poison,Flying
zubat_38,Poison,Flying
zubat_39,Poison,Flying
zubat_40,Poison,Flying
graveler_1,Rock,Ground
graveler_2,Rock,Ground
graveler_3,Rock,Ground
graveler_4,Rock,Ground
graveler_5,Rock,Ground
graveler_6,Rock,Ground
graveler_7,Rock,Ground
graveler_8,Rock,Ground
graveler_9,Rock,Ground
graveler_10,Rock,Ground
graveler_11,Rock,Ground
graveler_12,Rock,Ground
graveler_13,Rock,Ground
graveler_14,Rock,Ground
graveler_15,Rock,Ground
graveler_16,Rock,Ground
graveler_17,Rock,Ground
graveler_18,Rock,Ground
graveler_19,Rock,Ground
graveler_20,Rock,Ground
graveler_21,Rock,Ground
graveler_22,Rock,Ground
graveler_23,Rock,Ground
graveler_24,Rock,Ground
graveler_25,Rock,Ground
graveler_26,Rock,Ground
graveler_27,Rock,Ground
graveler_28,Rock,Ground
graveler_29,Rock,Ground
graveler_30,Rock,Ground
graveler_31,Rock,Ground
graveler_32,Rock,Ground
graveler_33,Rock,Ground
graveler_34,Rock,Ground
graveler_35,Rock,Ground
graveler_36,Rock,Ground
graveler_37,Rock,Ground
graveler_38,Rock,Ground
graveler_39,Rock,Ground
graveler_40,Rock,Ground
magneton_1,Electric,Steel
magneton_2,Electric,Steel
magneton_3,Electric,Steel
magneton_4,Electric,Steel
magneton_5,Electric,Steel
magneton_6,Electric,Steel
magneton_7,Electric,Steel
magneton_8,Electric,Steel
magneton_9,Electric,Steel
magneton_10,Electric,Steel
magneton_11,Electric,Steel
magneton_12,Electric,Steel
magneton_13,Electric,Steel
magneton_14,Electric,Steel
magneton_15,Electric,Steel
magneton_16,Electric,Steel
magneton_17,Electric,Steel
magneton_18,Electric,Steel
magneton_19,Electric,Steel
magneton_20,Electric,Steel
magneton_21,Electric,Steel
magneton_22,Electric,Steel
magneton_23,Electric,Steel
magneton_24,Electric,Steel
magneton_25,Electric,Steel
magneton_26,Electric,Steel
magneton_27,Electric,Steel
magneton_28,Electric,Steel
magneton_29,Electric,Steel
magneton_30,Electric,Steel
magneton_31,Electric,Steel
magneton_32,Electric,Steel
magneton_33,Electric,Steel
magneton_34,Electric,Steel
magneton_35,Electric,Steel
magneton_36,Electric,Steel
magneton_37,Electric,Steel
magneton_38,Electric,Steel
magneton_39,Electric,Steel
magneton_40,Electric,Steel
magneton_41,Electric,Steel
magneton_42,Electric,Steel
abra_1,Psychic,
abra_2,Psychic,
abra_3,Psychic,
abra_4,Psychic,
abra_5,Psychic,
abra_6,Psychic,
abra_7,Psychic,
abra_8,Psychic,
abra_9,Psychic,
abra_10,Psychic,
abra_11,Psychic,
abra_12,Psychic,
abra_13,Psychic,
abra_14,Psychic,
abra_15,Psychic,
abra_16,Psychic,
abra_17,Psychic,
abra_18,Psychic,
abra_19,Psychic,
abra_20,Psychic,
abra_21,Psychic,
abra_22,Psychic,
abra_23,Psychic,
abra_24,Psychic,
abra_25,Psychic,
abra_26,Psychic,
abra_27,Psychic,
abra_28,Psychic,
abra_29,Psychic,
abra_30,Psychic,
abra_31,Psychic,
abra_32,Psychic,
abra_33,Psychic,
abra_34,Psychic,
abra_35,Psychic,
kingler_1,Water,
kingler_2,Water,
kingler_3,Water,
kingler_4,Water,
kingler_5,Water,
kingler_6,Water,
kingler_7,Water,
kingler_8,Water,
kingler_9,Water,
kingler_10,Water,
kingler_11,Water,
kingler_12,Water,
kingler_13,Water,
kingler_14,Water,
kingler_15,Water,
kingler_16,Water,
kingler_17,Water,
kingler_18,Water,
kingler_19,Water,
kingler_20,Water,
kingler_21,Water,
kingler_22,Water,
kingler_23,Water,
kingler_24,Water,
kingler_25,Water,
kingler_26,Water,
kingler_27,Water,
kingler_28,Water,
kingler_29,Water,
kingler_30,Water,
kingler_31,Water,
kingler_32,Water,
kingler_33,Water,
kingler_34,Water,
kingler_35,Water,
kingler_36,Water,
kingler_37,Water,
kingler_38,Water,
kingler_39,Water,
kingler_40,Water,
kingler_41,Water,
kingler_42,Water,
kingler_43,Water,
kingler_44,Water,
kingler_45,Water,
kingler_46,Water,
kingler_47,Water,
alakazam_1,Psychic,
alakazam_2,Psychic,
alakazam_3,Psychic,
alakazam_4,Psychic,
alakazam_5,Psychic,
alakazam_6,Psychic,
alakazam_7,Psychic,
alakazam_8,Psychic,
alakazam_9,Psychic,
alakazam_10,Psychic,
alakazam_11,Psychic,
alakazam_12,Psychic,
alakazam_13,Psychic,
alakazam_14,Psychic,
alakazam_15,Psychic,
alakazam_16,Psychic,
alakazam_17,Psychic,
alakazam_18,Psychic,
alakazam_19,Psychic,
alakazam_20,Psychic,
alakazam_21,Psychic,
alakazam_22,Psychic,
alakazam_23,Psychic,
alakazam_24,Psychic,
alakazam_25,Psychic,
alakazam_26,Psychic,
clefable_1,Fairy,
clefable_2,Fairy,
clefable_3,Fairy,
clefable_4,Fairy,
clefable_5,Fairy,
clefable_6,Fairy,
clefable_7,Fairy,
clefable_8,Fairy,
clefable_9,Fairy,
clefable_10,Fairy,
clefable_11,Fairy,
clefable_12,Fairy,
clefable_13,Fairy,
clefable_14,Fairy,
clefable_15,Fairy,
clefable_16,Fairy,
clefable_17,Fairy,
clefable_18,Fairy,
clefable_19,Fairy,
clefable_20,Fairy,
clefable_21,Fairy,
clefable_22,Fairy,
clefable_23,Fairy,
clefable_24,Fairy,
clefable_25,Fairy,
clefable_26,Fairy,
clefable_27,Fairy,
clefable_28,Fairy,
clefable_29,Fairy,
clefable_30,Fairy,
clefable_31,Fairy,
clefable_32,Fairy,
clefable_33,Fairy,
clefable_34,Fairy,
clefable_35,Fairy,
clefable_36,Fairy,
clefable_37,Fairy,
clefable_38,Fairy,
gyarados_1,Water,Flying
gyarados_2,Water,Flying
gyarados_3,Water,Flying
gyarados_4,Water,Flying
gyarados_5,Water,Flying
gyarados_6,Water,Flying
gyarados_7,Water,Flying
gyarados_8,Water,Flying
gyarados_9,Water,Flying
gyarados_10,Water,Flying
gyarados_11,Water,Flying
gyarados_12,Water,Flying
gyarados_13,Water,Flying
gyarados_14,Water,Flying
gyarados_15,Water,Flying
gyarados_16,Water,Flying
gyarados_17,Water,Flying
gyarados_18,Water,Flying
gyarados_19,Water,Flying
gyarados_20,Water,Flying
gyarados_21,Water,Flying
gyarados_22,Water,Flying
gyarados_23,Water,Flying
gyarados_24,Water,Flying
gyarados_25,Water,Flying
gyarados_26,Water,Flying
gyarados_27,Water,Flying
gyarados_28,Water,Flying
gyarados_29,Water,Flying
gyarados_30,Water,Flying
gyarados_31,Water,Flying
gyarados_32,Water,Flying
gyarados_33,Water,Flying
gyarados_34,Water,Flying
gyarados_35,Water,Flying
gyarados_36,Water,Flying
gyarados_37,Water,Flying
gyarados_38,Water,Flying
gyarados_39,Water,Flying
gyarados_40,Water,Flying
gyarados_41,Water,Flying
gyarados_42,Water,Flying
gyarados_43,Water,Flying
gyarados_44,Water,Flying
gyarados_45,Water,Flying
gyarados_46,Water,Flying
poliwag_1,Water,
poliwag_2,Water,
poliwag_3,Water,
poliwag_4,Water,
poliwag_5,Water,
poliwag_6,Water,
poliwag_7,Water,
poliwag_8,Water,
poliwag_9,Water,
poliwag_10,Water,
poliwag_11,Water,
poliwag_12,Water,
poliwag_13,Water,
poliwag_14,Water,
poliwag_15,Water,
poliwag_16,Water,
poliwag_17,Water,
poliwag_18,Water,
poliwag_19,Water,
poliwag_20,Water,
poliwag_21,Water,
poliwag_22,Water,
poliwag_23,Water,
poliwag_24,Water,
poliwag_25,Water,
poliwag_26,Water,
poliwag_27,Water,
poliwag_28,Water,
poliwag_29,Water,
poliwag_30,Water,
poliwag_31,Water,
poliwag_32,Water,
poliwag_33,Water,
poliwag_34,Water,
poliwag_35,Water,
poliwag_36,Water,
poliwag_37,Water,
poliwag_38,Water,
poliwag_39,Water,
poliwag_40,Water,
poliwag_41,Water,
poliwag_42,Water,
poliwag_43,Water,
poliwag_44,Water,
poliwag_45,Water,
poliwag_46,Water,
poliwag_47,Water,
poliwag_48,Water,
poliwag_49,Water,
poliwag_50,Water,
poliwag_51,Water,
rapidash_1,Fire,
rapidash_2,Fire,
rapidash_3,Fire,
rapidash_4,Fire,
rapidash_5,Fire,
rapidash_6,Fire,
rapidash_7,Fire,
rapidash_8,Fire,
rapidash_9,Fire,
rapidash_10,Fire,
rapidash_11,Fire,
rapidash_12,Fire,
rapidash_13,Fire,
rapidash_14,Fire,
rapidash_15,Fire,
rapidash_16,Fire,
rapidash_17,Fire,
rapidash_18,Fire,
rapidash_19,Fire,
rapidash_20,Fire,
rapidash_21,Fire,
rapidash_22,Fire,
rapidash_23,Fire,
rapidash_24,Fire,
rapidash_25,Fire,
rapidash_26,Fire,
rapidash_27,Fire,
rapidash_28,Fire,
rapidash_29,Fire,
rapidash_30,Fire,
rapidash_31,Fire,
rapidash_32,Fire,
rapidash_33,Fire,
rapidash_34,Fire,
rapidash_35,Fire,
rapidash_36,Fire,
rapidash_37,Fire,
rapidash_38,Fire,
rapidash_39,Fire,
rapidash_40,Fire,
rapidash_41,Fire,
rapidash_42,Fire,
rapidash_43,Fire,
rapidash_44,Fire,
rapidash_45,Fire,
rapidash_46,Fire,
rapidash_47,Fire,
rapidash_48,Fire,
machamp_1,Fighting,
machamp_2,Fighting,
machamp_3,Fighting,
machamp_4,Fighting,
machamp_5,Fighting,
machamp_6,Fighting,
machamp_7,Fighting,
machamp_8,Fighting,
machamp_9,Fighting,
machamp_10,Fighting,
machamp_11,Fighting,
machamp_12,Fighting,
machamp_13,Fighting,
machamp_14,Fighting,
machamp_15,Fighting,
machamp_16,Fighting,
machamp_17,Fighting,
machamp_18,Fighting,
machamp_19,Fighting,
machamp_20,Fighting,
machamp_21,Fighting,
machamp_22,Fighting,
machamp_23,Fighting,
machamp_24,Fighting,
machamp_25,Fighting,
machamp_26,Fighting,
machamp_27,Fighting,
machamp_28,Fighting,
machamp_29,Fighting,
machamp_30,Fighting,
machamp_31,Fighting,
machamp_32,Fighting,
machamp_33,Fighting,
machamp_34,Fighting,
machamp_35,Fighting,
machamp_36,Fighting,
machamp_37,Fighting,
machamp_38,Fighting,
machamp_39,Fighting,
machamp_40,Fighting,
machamp_41,Fighting,
machamp_42,Fighting,
machamp_43,Fighting,
machamp_44,Fighting,
machamp_45,Fighting,
machamp_46,Fighting,
machamp_47,Fighting,
machamp_48,Fighting,
machamp_49,Fighting,
machamp_50,Fighting,
machamp_51,Fighting,
machamp_52,Fighting,
machamp_53,Fighting,
pinsir_1,Bug,
pinsir_2,Bug,
pinsir_3,Bug,
pinsir_4,Bug,
pinsir_5,Bug,
pinsir_6,Bug,
pinsir_7,Bug,
pinsir_8,Bug,
pinsir_9,Bug,
pinsir_10,Bug,
pinsir_11,Bug,
pinsir_12,Bug,
pinsir_13,Bug,
pinsir_14,Bug,
pinsir_15,Bug,
pinsir_16,Bug,
pinsir_17,Bug,
pinsir_18,Bug,
pinsir_19,Bug,
pinsir_20,Bug,
pinsir_21,Bug,
pinsir_22,Bug,
pinsir_23,Bug,
pinsir_24,Bug,
pinsir_25,Bug,
pinsir_26,Bug,
pinsir_27,Bug,
pinsir_28,Bug,
pinsir_29,Bug,
pinsir_30,Bug,
pinsir_31,Bug,
pinsir_32,Bug,
pinsir_33,Bug,
pinsir_34,Bug,
pinsir_35,Bug,
pinsir_36,Bug,
pinsir_37,Bug,
pinsir_38,Bug,
pinsir_39,Bug,
pinsir_40,Bug,
pinsir_41,Bug,
muk_1,Poison,
muk_2,Poison,
muk_3,Poison,
muk_4,Poison,
muk_5,Poison,
muk_6,Poison,
muk_7,Poison,
muk_8,Poison,
muk_9,Poison,
muk_10,Poison,
muk_11,Poison,
muk_12,Poison,
muk_13,Poison,
muk_14,Poison,
muk_15,Poison,
muk_16,Poison,
muk_17,Poison,
muk_18,Poison,
muk_19,Poison,
muk_20,Poison,
muk_21,Poison,
muk_22,Poison,
muk_23,Poison,
muk_24,Poison,
muk_25,Poison,
muk_26,Poison,
muk_27,Poison,
muk_28,Poison,
muk_29,Poison,
muk_30,Poison,
muk_31,Poison,
muk_32,Poison,
muk_33,Poison,
muk_34,Poison,
muk_35,Poison,
muk_36,Poison,
muk_37,Poison,
muk_38,Poison,
muk_39,Poison,
muk_40,Poison,
muk_41,Poison,
muk_42,Poison,
muk_43,Poison,
seaking_1,Water,
seaking_2,Water,
seaking_3,Water,
seaking_4,Water,
seaking_5,Water,
seaking_6,Water,
seaking_7,Water,
seaking_8,Water,
seaking_9,Water,
seaking_10,Water,
seaking_11,Water,
seaking_12,Water,
seaking_13,Water,
seaking_14,Water,
seaking_15,Water,
seaking_16,Water,
seaking_17,Water,
seaking_18,Water,
seaking_19,Water,
seaking_20,Water,
seaking_21,Water,
seaking_22,Water,
seaking_23,Water,
seaking_24,Water,
seaking_25,Water,
seaking_26,Water,
seaking_27,Water,
seaking_28,Water,
seaking_29,Water,
seaking_30,Water,
seaking_31,Water,
seaking_32,Water,
seaking_33,Water,
seaking_34,Water,
seaking_35,Water,
seaking_36,Water,
seaking_37,Water,
seaking_38,Water,
seaking_39,Water,
seaking_40,Water,
seaking_41,Water,
seaking_42,Water,
seaking_43,Water,
seaking_44,Water,
seaking_45,Water,
seaking_46,Water,
magikarp_1,Water,
magikarp_2,Water,
magikarp_3,Water,
magikarp_4,Water,
magikarp_5,Water,
magikarp_6,Water,
magikarp_7,Water,
magikarp_8,Water,
magikarp_9,Water,
magikarp_10,Water,
magikarp_11,Water,
magikarp_12,Water,
magikarp_13,Water,
magikarp_14,Water,
magikarp_15,Water,
magikarp_16,Water,
magikarp_17,Water,
magikarp_18,Water,
magikarp_19,Water,
magikarp_20,Water,
magikarp_21,Water,
magikarp_22,Water,
magikarp_23,Water,
magikarp_24,Water,
magikarp_25,Water,
magikarp_26,Water,
magikarp_27,Water,
magikarp_28,Water,
magikarp_29,Water,
magikarp_30,Water,
magikarp_31,Water,
magikarp_32,Water,
magikarp_33,Water,
magikarp_34,Water,
magikarp_35,Water,
magikarp_36,Water,
magikarp_37,Water,
magikarp_38,Water,
magikarp_39,Water,
magikarp_40,Water,
magikarp_41,Water,
magikarp_42,Water,
magikarp_43,Water,
magikarp_44,Water,
goldeen_1,Water,
goldeen_2,Water,
goldeen_3,Water,
goldeen_4,Water,
goldeen_5,Water,
goldeen_6,Water,
goldeen_7,Water,
goldeen_8,Water,
goldeen_9,Water,
goldeen_10,Water,
goldeen_11,Water,
goldeen_12,Water,
goldeen_13,Water,
goldeen_14,Water,
goldeen_15,Water,
goldeen_16,Water,
goldeen_17,Water,
goldeen_18,Water,
goldeen_19,Water,
goldeen_20,Water,
goldeen_21,Water,
goldeen_22,Water,
goldeen_23,Water,
goldeen_24,Water,
goldeen_25,Water,
goldeen_26,Water,
goldeen_27,Water,
goldeen_28,Water,
goldeen_29,Water,
goldeen_30,Water,
goldeen_31,Water,
goldeen_32,Water,
goldeen_33,Water,
goldeen_34,Water,
goldeen_35,Water,
goldeen_36,Water,
goldeen_37,Water,
goldeen_38,Water,
goldeen_39,Water,
goldeen_40,Water,
goldeen_41,Water,
goldeen_42,Water,
goldeen_43,Water,
goldeen_44,Water,
goldeen_45,Water,
goldeen_46,Water,
goldeen_47,Water,
venusaur_1,Grass,Poison
venusaur_2,Grass,Poison
venusaur_3,Grass,Poison
venusaur_4,Grass,Poison
venusaur_5,Grass,Poison
venusaur_6,Grass,Poison
venusaur_7,Grass,Poison
venusaur_8,Grass,Poison
venusaur_9,Grass,Poison
venusaur_10,Grass,Poison
venusaur_11,Grass,Poison
venusaur_12,Grass,Poison
venusaur_13,Grass,Poison
venusaur_14,Grass,Poison
venusaur_15,Grass,Poison
venusaur_16,Grass,Poison
venusaur_17,Grass,Poison
venusaur_18,Grass,Poison
venusaur_19,Grass,Poison
venusaur_20,Grass,Poison
venusaur_21,Grass,Poison
venusaur_22,Grass,Poison
venusaur_23,Grass,Poison
venusaur_24,Grass,Poison
venusaur_25,Grass,Poison
venusaur_26,Grass,Poison
venusaur_27,Grass,Poison
venusaur_28,Grass,Poison
venusaur_29,Grass,Poison
venusaur_30,Grass,Poison
venusaur_31,Grass,Poison
venusaur_32,Grass,Poison
venusaur_33,Grass,Poison
venusaur_34,Grass,Poison
venusaur_35,Grass,Poison
venusaur_36,Grass,Poison
venusaur_37,Grass,Poison
venusaur_38,Grass,Poison
venusaur_39,Grass,Poison
venusaur_40,Grass,Poison
venusaur_41,Grass,Poison
venusaur_42,Grass,Poison
venusaur_43,Grass,Poison
venusaur_44,Grass,Poison
venusaur_45,Grass,Poison
venusaur_46,Grass,Poison
venusaur_47,Grass,Poison
venusaur_48,Grass,Poison
venusaur_49,Grass,Poison
venusaur_50,Grass,Poison
venusaur_51,Grass,Poison
venusaur_52,Grass,Poison
venusaur_53,Grass,Poison
venusaur_54,Grass,Poison
venusaur_55,Grass,Poison
venusaur_56,Grass,Poison
venusaur_57,Grass,Poison
venusaur_58,Grass,Poison
venusaur_59,Grass,Poison
venusaur_60,Grass,Poison
venusaur_61,Grass,Poison
venusaur_62,Grass,Poison
venusaur_63,Grass,Poison
venusaur_64,Grass,Poison
venusaur_65,Grass,Poison
venusaur_66,Grass,Poison
flareon_1,Fire,
flareon_2,Fire,
flareon_3,Fire,
flareon_4,Fire,
flareon_5,Fire,
flareon_6,Fire,
flareon_7,Fire,
flareon_8,Fire,
flareon_9,Fire,
flareon_10,Fire,
flareon_11,Fire,
flareon_12,Fire,
flareon_13,Fire,
flareon_14,Fire,
flareon_15,Fire,
flareon_16,Fire,
flareon_17,Fire,
flareon_18,Fire,
flareon_19,Fire,
flareon_20,Fire,
flareon_21,Fire,
flareon_22,Fire,
flareon_23,Fire,
flareon_24,Fire,
flareon_25,Fire,
flareon_26,Fire,
flareon_27,Fire,
flareon_28,Fire,
flareon_29,Fire,
flareon_30,Fire,
flareon_31,Fire,
flareon_32,Fire,
flareon_33,Fire,
flareon_34,Fire,
flareon_35,Fire,
flareon_36,Fire,
flareon_37,Fire,
flareon_38,Fire,
flareon_39,Fire,
flareon_40,Fire,
flareon_41,Fire,
flareon_42,Fire,
flareon_43,Fire,
flareon_44,Fire,
flareon_45,Fire,
jigglypuff_1,Normal,Fairy
jigglypuff_2,Normal,Fairy
jigglypuff_3,Normal,Fairy
jigglypuff_4,Normal,Fairy
jigglypuff_5,Normal,Fairy
jigglypuff_6,Normal,Fairy
jigglypuff_7,Normal,Fairy
jigglypuff_8,Normal,Fairy
jigglypuff_9,Normal,Fairy
jigglypuff_10,Normal,Fairy
jigglypuff_11,Normal,Fairy
jigglypuff_12,Normal,Fairy
jigglypuff_13,Normal,Fairy
jigglypuff_14,Normal,Fairy
jigglypuff_15,Normal,Fairy
jigglypuff_16,Normal,Fairy
jigglypuff_17,Normal,Fairy
jigglypuff_18,Normal,Fairy
jigglypuff_19,Normal,Fairy
jigglypuff_20,Normal,Fairy
jigglypuff_21,Normal,Fairy
jigglypuff_22,Normal,Fairy
jigglypuff_23,Normal,Fairy
jigglypuff_24,Normal,Fairy
jigglypuff_25,Normal,Fairy
jigglypuff_26,Normal,Fairy
jigglypuff_27,Normal,Fairy
jigglypuff_28,Normal,Fairy
jigglypuff_29,Normal,Fairy
jigglypuff_30,Normal,Fairy
jigglypuff_31,Normal,Fairy
jigglypuff_32,Normal,Fairy
jigglypuff_33,Normal,Fairy
jigglypuff_34,Normal,Fairy
jigglypuff_35,Normal,Fairy
jigglypuff_36,Normal,Fairy
jigglypuff_37,Normal,Fairy
jigglypuff_38,Normal,Fairy
jigglypuff_39,Normal,Fairy
jigglypuff_40,Normal,Fairy
jigglypuff_41,Normal,Fairy
jigglypuff_42,Normal,Fairy
jigglypuff_43,Normal,Fairy
jigglypuff_44,Normal,Fairy
jigglypuff_45,Normal,Fairy
jigglypuff_46,Normal,Fairy
doduo_1,Normal,Flying
doduo_2,Normal,Flying
doduo_3,Normal,Flying
doduo_4,Normal,Flying
doduo_5,Normal,Flying
doduo_6,Normal,Flying
doduo_7,Normal,Flying
doduo_8,Normal,Flying
doduo_9,Normal,Flying
doduo_10,Normal,Flying
doduo_11,Normal,Flying
doduo_12,Normal,Flying
doduo_13,Normal,Flying
doduo_14,Normal,Flying
doduo_15,Normal,Flying
doduo_16,Normal,Flying
doduo_17,Normal,Flying
doduo_18,Normal,Flying
doduo_19,Normal,Flying
doduo_20,Normal,Flying
doduo_21,Normal,Flying
doduo_22,Normal,Flying
doduo_23,Normal,Flying
doduo_24,Normal,Flying
doduo_25,Normal,Flying
doduo_26,Normal,Flying
doduo_27,Normal,Flying
doduo_28,Normal,Flying
doduo_29,Normal,Flying
doduo_30,Normal,Flying
doduo_31,Normal,Flying
doduo_32,Normal,Flying
doduo_33,Normal,Flying
doduo_34,Normal,Flying
doduo_35,Normal,Flying
weedle_1,Bug,Poison
weedle_2,Bug,Poison
weedle_3,Bug,Poison
weedle_4,Bug,Poison
weedle_5,Bug,Poison
weedle_6,Bug,Poison
weedle_7,Bug,Poison
weedle_8,Bug,Poison
weedle_9,Bug,Poison
weedle_10,Bug,Poison
weedle_11,Bug,Poison
weedle_12,Bug,Poison
weedle_13,Bug,Poison
weedle_14,Bug,Poison
weedle_15,Bug,Poison
weedle_16,Bug,Poison
weedle_17,Bug,Poison
weedle_18,Bug,Poison
weedle_19,Bug,Poison
weedle_20,Bug,Poison
weedle_21,Bug,Poison
weedle_22,Bug,Poison
weedle_23,Bug,Poison
weedle_24,Bug,Poison
weedle_25,Bug,Poison
weedle_26,Bug,Poison
weedle_27,Bug,Poison
weedle_28,Bug,Poison
weedle_29,Bug,Poison
weedle_30,Bug,Poison
weedle_31,Bug,Poison
weedle_32,Bug,Poison
weedle_33,Bug,Poison
weedle_34,Bug,Poison
weedle_35,Bug,Poison
weedle_36,Bug,Poison
weedle_37,Bug,Poison
weedle_38,Bug,Poison
weedle_39,Bug,Poison
weedle_40,Bug,Poison
weedle_41,Bug,Poison
weedle_42,Bug,Poison
weedle_43,Bug,Poison
weedle_44,Bug,Poison
weedle_45,Bug,Poison
weedle_46,Bug,Poison
weedle_47,Bug,Poison
weedle_48,Bug,Poison
weedle_49,Bug,Poison
vileplume_1,Grass,Poison
